"~id","~labels","description_si","functions","description_en","name","qualities","function","symptoms","definition_en","severity","disease_id","definition_si","name_si","category","name_en","symptom_id","type","body_part","medicine_id","indication","treatment_id","virya","rasa","food_id","vipaka","dosha_effect","practice_id","beneficial_for","cause_en","cause_si","nidana_id","months","season_id","dosha_aggravation","age_range","group_name_si","age_id","group_name_en","characteristics","prakriti_id"
"4:def61c06-cb45-4038-b1ff-8cad54c64d8c:31","Disease",,,,,,,,"Nasal vestibular furunculosis is a Vata-Pitta disorder involving an infected hair follicle in the nasal vestibule.","mild_to_moderate","D008","නාසය තුළ හටගන්නා ගෙඩි යනු, වාත-පිත්ත දෝෂ කෝප වීම නිසා ඇතිවන රෝගී තත්ත්වයකි.","නාසාරුණශිඛා","ent_disorders","Nasal Vestibular Furunculosis",,,,,,,,,,,,,,,,,,,,,,,,,
"4:def61c06-cb45-4038-b1ff-8cad54c64d8c:32","Disease",,,,,,,,"Janu Sandhigata Vata is a chronic, degenerative Vata disorder in Ayurveda, affecting the knee joint.","moderate_to_severe","D009","ජානු සංධිගත වාত යනු අයුර්වේදයට අනුව දීර්ඝකාලීන, පිරිහෙන වාත ව්‍යාධියක් වන අතර එය ජානු සන්ධියට බලපායි.","ජානු සංධිගත වාත","joint_disorders","Janu Sandhigata Vata (Osteoarthritis of Knee)",,,,,,,,,,,,,,,,,,,,,,,,,
"4:def61c06-cb45-4038-b1ff-8cad54c64d8c:33","Disease",,,,,,,,"In Ayurveda, Mashaka is described as a firm, painless, black, and raised eruption on the skin.","mild","D010","මෂක යනු අයුර්වේදය අනුව වාතාධිකතාවෙන් ඇතිවන, කළු, දැඩි, වේදනාවක් නොමැති, ඉහළින් ඇති සම පැල්ලමකි.","මෂක (ඉහළින් ඇති මැස්සක්/මෝලය)","skin_disorders","Mashaka (Elevated Mole)",,,,,,,,,,,,,,,,,,,,,,,,,
"4:def61c06-cb45-4038-b1ff-8cad54c64d8c:34","Symptom","මුහුණේ හටගන්නා කුරුලෑ සහ බිබිලි",,"Facial eruptions (comedones, papules, pustules)",,,,,,,,,,,,"S001","physical","face",,,,,,,,,,,,,,,,,,,,,,
"4:def61c06-cb45-4038-b1ff-8cad54c64d8c:35","Symptom","තෙල් සහිත සම",,"Oily skin",,,,,,,,,,,,"S002","physical","face",,,,,,,,,,,,,,,,,,,,,,
"4:def61c06-cb45-4038-b1ff-8cad54c64d8c:36","Symptom","ප්‍රදාහය සහිත කුරුලෑ",,"Inflamed pimples",,,,,,,,,,,,"S003","physical","face",,,,,,,,,,,,,,,,,,,,,,
"4:def61c06-cb45-4038-b1ff-8cad54c64d8c:37","Symptom","කළු ලප",,"Blackheads",,,,,,,,,,,,"S004","physical","face",,,,,,,,,,,,,,,,,,,,,,
"4:def61c06-cb45-4038-b1ff-8cad54c64d8c:61","Medicine",,,,,,,,,,,,"සුන්දර් වටි",,"Sunder Vati",,"herbal_compound",,"M001","skin_disorders",,,,,,,,,,,,,,,,,,,,
"4:def61c06-cb45-4038-b1ff-8cad54c64d8c:62","Medicine",,,,,,,,,,,,"ගුග්ගුළු",,"Guggulu",,"herbal_compound",,"M002","multiple_disorders",,,,,,,,,,,,,,,,,,,,
"4:def61c06-cb45-4038-b1ff-8cad54c64d8c:63","Medicine",,,,,,,,,,,,"සුක්ෂ්ම ත්‍රිපහළ",,"Sookshma Triphala",,"herbal_compound",,"M003","digestive_disorders",,,,,,,,,,,,,,,,,,,,
"4:def61c06-cb45-4038-b1ff-8cad54c64d8c:72","Treatment",,,,,,,,,,,,"තික්තක්ෂීර බස්ති","basti","Tikta Ksheera Basti",,,,,"skin_disorders","T005",,,,,,,,,,,,,,,,,,,
"4:def61c06-cb45-4038-b1ff-8cad54c64d8c:79","Food",,,,,,,,,,,,"උණුසුම් ජලය",,"Warm water",,,,,,,"hot","sweet","F001","sweet","vata_pacifying",,,,,,,,,,,,,,
"4:def61c06-cb45-4038-b1ff-8cad54c64d8c:80","Food",,,,,,,,,,,,"කිරි",,"Milk",,,,,,,"cold","sweet","F002","sweet","pitta_pacifying",,,,,,,,,,,,,,
"4:def61c06-cb45-4038-b1ff-8cad54c64d8c:81","Food",,,,,,,,,,,,"මුං ඇට",,"Green gram",,,,,,,"cold","sweet_astringent","F003","sweet","tridoshic",,,,,,,,,,,,,,
"4:def61c06-cb45-4038-b1ff-8cad54c64d8c:82","Food",,,,,,,,,,,,"ගිතෙල්",,"Cow ghee",,,,,,,"cold","sweet","F004","sweet","tridoshic",,,,,,,,,,,,,,
"4:def61c06-cb45-4038-b1ff-8cad54c64d8c:84","Lifestyle",,,,,,,,,,,,"නිතර මුහුණ සේදීම","hygiene","Regular face washing",,,,,,,,,,,,"L002","skin_health",,,,,,,,,,,,
"4:def61c06-cb45-4038-b1ff-8cad54c64d8c:86","Nidana",,,,,,,,,,,,,"dietary",,,,,,,,,,,,,,,"Oily foods","තෙල් සහිත ආහාර","N001",,,,,,,,,
"4:def61c06-cb45-4038-b1ff-8cad54c64d8c:87","Nidana",,,,,,,,,,,,,"psychological",,,,,,,,,,,,,,,"Mental stress","මානසික ආතතිය","N002",,,,,,,,,
"4:def61c06-cb45-4038-b1ff-8cad54c64d8c:103","Food",,,,,,,,,,,,"සැර ආහාර",,"Spicy foods",,,,,,,"hot","pungent","F005","pungent","pitta_aggravating",,,,,,,,,,,,,,
"4:def61c06-cb45-4038-b1ff-8cad54c64d8c:107","Season",,,,,,,,,,,,"ගිම්හානය",,"Summer",,,,,,,,,,,,,,,,,"May-July","SE001","Pitta",,,,,,
"4:def61c06-cb45-4038-b1ff-8cad54c64d8c:108","Season",,,,,,,,,,,,"වර්ෂාකාලය",,"Monsoon",,,,,,,,,,,,,,,,,"July-September","SE002","Vata",,,,,,
"4:def61c06-cb45-4038-b1ff-8cad54c64d8c:109","Season",,,,,,,,,,,,"ශීත කාලය",,"Winter",,,,,,,,,,,,,,,,,"December-February","SE003","Kapha",,,,,,
"4:def61c06-cb45-4038-b1ff-8cad54c64d8c:110","AgeGroup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13-19 years","තරුණ වියේ","AG001","Adolescence",,
"4:def61c06-cb45-4038-b1ff-8cad54c64d8c:114","Prakriti",,,,,,,,,,,,,,,,"Pitta",,,,,,,,,,,,,,,,,,,,,,"Medium build, warm body, strong appetite, sharp intellect","PR002"
